33063936 17083  4233 2 -inf -17
33063936 16991  0011 0 -inf -10
16548864 16959  1122 0 -inf 4
16290816 17021  2213 2 -inf 8
16286976 571  4233 4 -inf 7
16286016 573  3334 4 -inf 1
16285954 564  1314 6 -inf -6
16285706 16416  1413 7 -inf 3
16285954 17408  3433 7 -inf 51
16286016 263168  3343 8 -3 0
16285984 131072  1322 8 -1 0
16548864 17115  1000 0 -inf -12
24937472 16991  2021 0 -inf -10
20874240 17243  3031 0 -inf -8
33062976 16954  3324 4 -inf -4
33062916 816  0011 3 -inf 19
33063936 17207  0011 0 -inf -10
16548864 17269  1000 0 -inf -12
24937472 9077  0102 0 -inf -4
24429568 9201  1121 0 -inf -4
20087808 263153  2122 0 -inf -3
19960832 937  4233 2 -inf 12
19959872 808  0011 2 -inf 14
3444800 568  2213 3 -inf 37
3440960 1560  3343 5 -inf 25
3440928 532  1314 5 -inf 42
3440680 16  1102 8 -3 0
3194920 512  1404 8 -1 0
33063936 17021  1011 0 -inf -10
24937472 16959  2031 0 -inf 4
20808704 17199  3122 0 -inf 12
20747264 17259  2223 1 -inf -1
20743296 16941  2313 4 -inf 5
20743424 16425  1303 5 -inf 1
20743680 104  0313 5 -inf 6
20743424 4136  4233 7 -inf 18
20742464 9  1304 7 -inf 23
20742224 5  3334 8 -1 0
33063936 17199  0011 0 -inf -10
16548864 17262  1000 0 -inf -12
24937472 17386  0010 0 -inf -12
16548864 17355  1000 0 -inf -12
24937472 17295  0010 0 -inf -12
16548864 25231  1122 0 -inf 4
16290816 9103  1011 0 -inf 10
8164352 24975  2031 0 -inf 10
4035584 25037  3132 0 -inf 10
3972096 25005  3233 2 -inf 12
3970112 8973  3334 4 -inf 25
3970050 17160  1112 4 -inf 29
3716098 17032  1213 6 -inf 52
3708162 262152  2221 7 -inf 52
3835138 16  2131 8 -5 0
3769602 8  1304 8 -3 0
3769362 256  3122 8 -1 0
16548864 17331  1000 0 -inf -12
33063936 17022  1011 0 -inf -10
24937472 17021  2021 0 -inf -10
20874240 17269  3031 0 -inf -10
18842624 17261  3132 0 -inf 10
18779136 17199  0010 0 -inf 12
10390528 17259  1020 0 -inf 12
6196224 16763  2122 0 -inf 14
6069248 24699  1110 1 -inf -15
14191616 270459  3222 1 -inf 8
14193664 8283  2213 3 -inf -2
14189824 579  0102 3 -inf 17
13681920 2563  4233 5 -inf 48
13680960 544  1304 6 -inf 52
13680720 1  0414 6 -inf 52
13680712 2  1424 8 -5 0
13680708 1  4142 8 -3 0
13648964 2  3344 8 -1 0
33063936 8767  0011 0 -inf -4
16548864 9019  1122 0 -inf 10
16290816 9021  1011 0 -inf 12
8164352 9084  2223 1 -inf -4
8160384 16956  2313 5 -inf 8
8160512 600  1324 5 -inf 16
8160260 776  2423 5 -inf 27
8160384 4616  2021 6 -inf 31
4097152 24  2313 6 -inf 48
4097280 20  1314 8 -1 0
33063936 17019  0011 0 -inf -10
16548864 17015  1000 0 -inf -10
24937472 17007  0010 0 -inf -10
24937472 887  0102 0 -inf -2
24429568 1011  1121 0 -inf -2
24298496 1003  2131 0 -inf -2
24232960 2987  4233 4 -inf -3
24232000 649  0213 6 -inf 48
24215872 40  3344 7 -inf 29
24215809 1032  4443 7 -inf 48
24215840 4  3122 7 -inf 48
24154400 2  1324 8 -5 0
24154148 1  2221 8 -3 0
24281124 2  4344 8 -1 0
33063936 16703  0011 0 -inf -10
16548864 16763  2021 0 -inf -10
12485632 20795  1112 2 -inf -6
12231680 63  2122 2 -inf 16
12104704 187  2233 4 -inf 23
12100672 523  0102 4 -inf 37
11592768 554  1213 5 -inf 23
11584832 553  1304 6 -inf 20
11584592 37  3334 8 -5 0
11584530 64  3424 8 -1 0
33063936 831  0011 0 -inf -9
16548864 8767  1122 0 -inf 10
16290816 8799  4232 1 -inf -11
16291840 9759  3233 2 -inf 14
16289856 8475  0102 3 -inf -13
15781952 31  1011 3 -inf 22
7655488 155  0213 6 -inf 34
7639360 29  3334 6 -inf 52
7639298 520  1102 8 -5 0
7393538 528  3424 8 -3 0
7393540 520  1304 8 -1 0
16548864 8827  2021 0 -inf -4
12485632 10811  2122 2 -inf 10
12358656 811  1020 2 -inf 14
8164352 571  1102 2 -inf 14
7918592 603  4231 2 -inf 14
7983104 851  2223 4 -inf 1
7979136 533  0213 4 -inf 22
7963008 531  2333 4 -inf 48
7962944 16403  1303 6 -inf 48
7963200 34  0313 7 -inf 23
7962944 1026  1324 8 -5 0
7897092 2050  2433 8 -1 0
33063936 262719  0102 1 -inf 1
